500	349.768332
1000	454.304414
1500	626.959039
2000	796.949398
2500	954.710864
3000	1061.438053
3500	1143.095063
4000	1242.820199
4500	1270.794439
5000	1326.270713
5500	1432.123978
6000	1492.166214
6500	1662.563869
7000	1616.232316
7500	1513.015367
8000	1532.835632
8500	1586.865363
9000	1675.619298
9500	1720.656473
10000	1679.807638
10500	1683.727648
11000	1786.822564
11500	1744.072545
12000	1801.655306
12500	1693.595794
13000	1774.046993
13500	1766.062113
14000	1822.715252
14500	1789.465015
15000	1926.888749
15500	1865.878263
16000	1832.121854
16500	1884.959078
17000	1878.733388
17500	1823.256292
18000	1839.773771
18500	1848.567955
19000	1831.34727
19500	1920.678125
20000	1887.823525
	
